"Station Name","CALGARY INTL A"
"Province","ALBERTA"
"Current Station Operator","NAV Canada"
"Latitude","51.12"
"Longitude","-114.01"
"Elevation","1099.10"
"Climate Identifier","3031092"
"WMO Identifier","71877"
"TC Identifier","YYC"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2019-04-01 00:00","2019","04","01","00:00","1.9","","-0.1","","87","","33","","11","","16.1","","89.50","","","","","","NA"
"2019-04-01 01:00","2019","04","01","01:00","1.9","","-0.5","","84","","35","","19","","16.1","","89.52","","","","","","NA"
"2019-04-01 02:00","2019","04","01","02:00","1.2","","-1.6","","82","","34","","22","","16.1","","89.50","","","","","","Mostly Cloudy"
"2019-04-01 03:00","2019","04","01","03:00","0.0","","-2.6","","83","","34","","22","","24.1","","89.52","","","","-6","","NA"
"2019-04-01 04:00","2019","04","01","04:00","1.0","","-2.1","","80","","35","","24","","16.1","","89.51","","","","","","NA"
"2019-04-01 05:00","2019","04","01","05:00","0.7","","-2.4","","80","","34","","19","","24.1","","89.52","","","","","","Mostly Cloudy"
"2019-04-01 06:00","2019","04","01","06:00","0.5","","-2.1","","83","","34","","17","","16.1","","89.55","","","","","","NA"
"2019-04-01 07:00","2019","04","01","07:00","0.8","","-1.7","","83","","35","","15","","32.2","","89.55","","","","","","Snow"
"2019-04-01 08:00","2019","04","01","08:00","1.2","","-1.9","","80","","35","","26","","48.3","","89.57","","","","","","Mostly Cloudy"
"2019-04-01 09:00","2019","04","01","09:00","3.1","","-2.8","","65","","34","","27","","48.3","","89.53","","","","","","NA"
"2019-04-01 10:00","2019","04","01","10:00","4.3","","-3.0","","59","","35","","17","","48.3","","89.51","","","","","","NA"
"2019-04-01 11:00","2019","04","01","11:00","5.4","","-4.6","","49","","30","","13","","48.3","","89.48","","","","","","Mostly Cloudy"
"2019-04-01 12:00","2019","04","01","12:00","5.0","","-5.8","","46","","33","","20","","48.3","","89.43","","","","","","NA"
"2019-04-01 13:00","2019","04","01","13:00","6.2","","-6.1","","41","","34","","22","","48.3","","89.34","","","","","","NA"
"2019-04-01 14:00","2019","04","01","14:00","7.2","","-7.3","","35","","32","","22","","48.3","","89.26","","","","","","Mostly Cloudy"
"2019-04-01 15:00","2019","04","01","15:00","7.6","","-6.5","","36","","32","","17","","48.3","","89.21","","","","","","NA"
"2019-04-01 16:00","2019","04","01","16:00","7.7","","-6.8","","35","","30","","12","","48.3","","89.17","","","","","","NA"
"2019-04-01 17:00","2019","04","01","17:00","7.7","","-6.8","","35","","34","","14","","32.2","","89.15","","","","","","Mostly Cloudy"
"2019-04-01 18:00","2019","04","01","18:00","7.4","","-6.8","","36","","1","","17","","32.2","","89.12","","","","","","NA"
"2019-04-01 19:00","2019","04","01","19:00","6.0","","-6.6","","40","","36","","17","","32.2","","89.13","","","","","","NA"
"2019-04-01 20:00","2019","04","01","20:00","3.6","","-5.8","","51","","36","","9","","16.1","","89.17","","","","","","Mostly Cloudy"
"2019-04-01 21:00","2019","04","01","21:00","3.1","","-5.6","","53","","33","","9","","16.1","","89.19","","","","","","NA"
"2019-04-01 22:00","2019","04","01","22:00","3.8","","-5.4","","51","","24","","6","","16.1","","89.18","","","","","","NA"
"2019-04-01 23:00","2019","04","01","23:00","2.1","","-4.6","","61","","34","","14","","24.1","","89.22","","","","","","Mostly Cloudy"
"2019-04-02 00:00","2019","04","02","00:00","2.3","","-4.8","","60","","32","","5","","24.1","","89.23","","","","","","NA"
"2019-04-02 01:00","2019","04","02","01:00","1.8","","-4.5","","63","","34","","9","","24.1","","89.24","","","","","","NA"
"2019-04-02 02:00","2019","04","02","02:00","1.1","","-4.9","","65","","34","","12","","24.1","","89.23","","","","","","Mostly Cloudy"
"2019-04-02 03:00","2019","04","02","03:00","0.7","","-4.7","","67","","35","","16","","24.1","","89.21","","","","","","NA"
"2019-04-02 04:00","2019","04","02","04:00","-1.1","","-5.6","","72","","1","","17","","24.1","","89.21","","","","-6","","NA"
"2019-04-02 05:00","2019","04","02","05:00","-1.5","","-5.2","","76","","32","","8","","24.1","","89.18","","","","-5","","Mainly Clear"
"2019-04-02 06:00","2019","04","02","06:00","-1.4","","-4.3","","81","","32","","7","","64.4","","89.14","","","","-4","","NA"
"2019-04-02 07:00","2019","04","02","07:00","-1.4","","-4.0","","82","","19","","7","","64.4","","89.12","","","","-4","","NA"
"2019-04-02 08:00","2019","04","02","08:00","1.5","","-3.1","","72","","23","","7","","64.4","","89.10","","","","","","Clear"
"2019-04-02 09:00","2019","04","02","09:00","3.2","","-3.4","","62","","21","","6","","64.4","","89.06","","","","","","NA"
"2019-04-02 10:00","2019","04","02","10:00","4.9","","-4.2","","52","","21","","9","","64.4","","89.01","","","","","","NA"
"2019-04-02 11:00","2019","04","02","11:00","6.4","","-4.9","","44","","34","","4","","64.4","","88.95","","","","","","Mainly Clear"
"2019-04-02 12:00","2019","04","02","12:00","7.2","","-6.6","","37","","9","","7","","64.4","","88.89","","","","","","NA"
"2019-04-02 13:00","2019","04","02","13:00","7.4","","-8.7","","31","","32","","8","","64.4","","88.84","","","","","","NA"
"2019-04-02 14:00","2019","04","02","14:00","8.8","","-7.5","","31","","5","","10","","64.4","","88.79","","","","","","Mostly Cloudy"
"2019-04-02 15:00","2019","04","02","15:00","8.4","","-7.9","","31","","36","","1","","64.4","","88.73","","","","","","NA"
"2019-04-02 16:00","2019","04","02","16:00","9.1","","-8.3","","28","","8","","8","","48.3","","88.65","","","","","","NA"
"2019-04-02 17:00","2019","04","02","17:00","9.4","","-8.0","","28","","11","","18","","48.3","","88.58","","","","","","Mainly Clear"
"2019-04-02 18:00","2019","04","02","18:00","8.6","","-8.1","","30","","11","","21","","64.4","","88.52","","","","","","NA"
"2019-04-02 19:00","2019","04","02","19:00","7.1","","-8.3","","32","","12","","19","","56.3","","88.50","","","","","","NA"
"2019-04-02 20:00","2019","04","02","20:00","3.4","","-4.5","","56","","11","","21","","40.2","","88.52","","","","","","Clear"
"2019-04-02 21:00","2019","04","02","21:00","2.1","","-4.8","","60","","11","","26","","24.1","","88.53","","","","","","NA"
"2019-04-02 22:00","2019","04","02","22:00","1.1","","-5.5","","61","","12","","27","","24.1","","88.50","","","","","","NA"
"2019-04-02 23:00","2019","04","02","23:00","0.1","","-5.8","","64","","12","","29","","24.1","","88.45","","","","","","Clear"
"2019-04-03 00:00","2019","04","03","00:00","-0.2","","-5.9","","65","","13","","27","","24.1","","88.39","","","","-6","","NA"
"2019-04-03 01:00","2019","04","03","01:00","-1.3","","-6.3","","68","","18","","16","","24.1","","88.35","","","","-6","","NA"
"2019-04-03 02:00","2019","04","03","02:00","-2.3","","-6.6","","73","","19","","12","","24.1","","88.31","","","","-7","","Clear"
"2019-04-03 03:00","2019","04","03","03:00","-1.4","","-5.9","","72","","22","","10","","24.1","","88.26","","","","-5","","NA"
"2019-04-03 04:00","2019","04","03","04:00","-1.9","","-6.5","","71","","22","","7","","24.1","","88.21","","","","-5","","NA"
