Line,Milepost_KM,CenterlineElevation_m,Comment,WallThickness,OutsideDiameter,WallRoughness,LocationType,LocationTag,Location,InnerPipeRadius_m,SegmentVolume_M3
Keystone,0,651.099,HRDSY,9.8,762,0.00004572,Pump Station,HRDSY-A0,HRDSY,0.3712,13975.12071
Keystone,32.28418,729.209,Block Valve,9.8,762,0.00004572,Valve,HRDSY+32-1-A0,HRDSY,0.3712,6955.536453
Keystone,48.352291,724.269,LKSND,9.8,762,0.00004572,Pump Station,LKSND-A0,LKSND,0.3712,12858.96828
Keystone,78.058027,732.51,Estimated Valve Location,9.8,762,0.00004572,Valve,LKSND+29-7-A0,LKSND,0.3712,9421.385223
Keystone,99.82254,688.03,Block Valve,9.8,762,0.00004572,Valve,LKSND+51-4-A0,LKSND,0.3712,2450.807116
Keystone,105.484194,695.516,MNTOR,9.8,762,0.00004572,Pump Station,MNTOR-A0,MNTOR,0.3712,15456.94362
Keystone,141.19156,731.184,Block Valve,9.8,762,0.00004572,Valve,MNTOR+35-6-A0,MNTOR,0.3712,10043.65946
Keystone,164.3936,779.912,OYENP,9.8,762,0.00004572,Pump Station,OYENP-A0,OYENP,0.3712,20560.82673
Keystone,211.891539,756.609,Block Valve,9.8,762,0.00004572,Valve,OYENP+47-5-A0,OYENP,0.3712,4452.653212
Keystone,222.177694,716.529,Block Valve,9.8,762,0.00004572,Valve,OYENP+57-7-A0,OYENP,0.3712,5115.654367
Keystone,233.99546,642.864,BNDLO,9.8,762,0.00004572,Pump Station,BNDLO-A0,BNDLO,0.3712,8859.327391
Keystone,254.461553,707.585,Block Valve,9.8,762,0.00004572,Valve,BNDLO+20-5-A0,BNDLO,0.3712,24552.56975
Keystone,311.18089,733.7002,LBNTL,9.53,863.6,0.0000125,Pump Station,LBNTL-A0,LBNTL,0.42227,2856.051989
Keystone,316.279312,699.6312,Block Valve,9.53,863.6,0.0000125,Valve,LBNTL+05-6-A0,LBNTL,0.42227,11023.06838
Keystone,335.956914,725.9412,Block Valve,9.53,863.6,0.0000125,Valve,LBNTL+25-3-A0,LBNTL,0.42227,16378.10018
Keystone,365.19394,699.0772,CABRP,9.53,863.6,0.0000125,Pump Station,CABRP-A0,CABRP,0.42227,14083.54926
Keystone,390.334896,667.0882,Block Valve,9.53,863.6,0.0000125,Valve,CABRP+25-1-A0,CABRP,0.42227,9927.74266
Keystone,408.0572,725.7932,STWTV,9.53,863.6,0.0000125,Pump Station,STWTV-A0,STWTV,0.42227,6506.34842
Keystone,419.671873,749.0722,Block Valve,9.53,863.6,0.0000125,Valve,STWTV+11-6-A0,STWTV,0.42227,11059.93854
Keystone,439.415293,724.8462,Block Valve,9.53,863.6,0.0000125,Valve,STWTV+31-2-A0,STWTV,0.42227,14721.37198
Keystone,465.694845,758.2692,HRBRT,9.53,863.6,0.0000125,Pump Station,HRBRT-A0,HRBRT,0.42227,14587.81134
Keystone,491.735974,729.0402,Block Valve,9.53,863.6,0.0000125,Valve,HRBRT+25-9-A0,HRBRT,0.42227,9989.018334
Keystone,509.567663,702.2452,CHPLN,9.53,863.6,0.0000125,Pump Station,CHPLN-A0,CHPLN,0.42227,2860.638211
Keystone,514.674272,689.8432,Block Valve,9.53,863.6,0.0000125,Valve,CHPLN+05-1-A0,CHPLN,0.42227,15531.49314
Keystone,542.399995,610.1032,Block Valve,9.53,863.6,0.0000125,Valve,CHPLN+32-8-A0,CHPLN,0.42227,10539.91009
Keystone,561.215097,591.9802,Block Valve,9.53,863.6,0.0000125,Valve,CHPLN+51-6-A0,CHPLN,0.42227,4390.10952
Keystone,569.05201,580.8882,CAROP,9.53,863.6,0.0000125,Pump Station,CAROP-A0,CAROP,0.42227,13149.32224
Keystone,592.52525,585.1112,Block Valve,9.53,863.6,0.0000125,Valve,CAROP+23-3-A0,CAROP,0.42227,9159.194957
Keystone,608.875597,530.1552,Block Valve,9.53,863.6,0.0000125,Valve,CAROP+39-7-A0,CAROP,0.42227,2943.693261
Keystone,614.13047,584.4522,BELPL,9.53,863.6,0.0000125,Pump Station,BELPL-A0,BELPL,0.42227,3539.243409
Keystone,620.448477,585.1512,Block Valve,9.53,863.6,0.0000125,Valve,BELPL+06-4-A0,BELPL,0.42227,14925.55999
Keystone,647.092531,570.7192,Block Valve,9.53,863.6,0.0000125,Valve,BELPL+33-1-A0,BELPL,0.42227,15170.87556
Keystone,674.174505,586.5622,REGNA,9.53,863.6,0.0000125,Pump Station,REGNA-A0,REGNA,0.42227,14738.01055
Keystone,700.483759,662.9362,Block Valve,9.53,863.6,0.0000125,Valve,REGNA+26-4-A0,REGNA,0.42227,12985.59796
Keystone,723.66473,652.2192,KENDL,9.53,863.6,0.0000125,Pump Station,KENDL-A0,KENDL,0.42227,4571.347936
Keystone,731.825177,665.1532,Block Valve,9.53,863.6,0.0000125,Valve,KENDL+08-2-A0,KENDL,0.42227,13793.85988
Keystone,756.449,673.4812,Block Valve,9.53,863.6,0.0000125,Valve,KENDL+32-8-A0,KENDL,0.42227,12844.5023
Keystone,779.378097,678.7732,GRNFL,9.53,863.6,0.0000125,Pump Station,GRNFL-A0,GRNFL,0.42227,14738.39483
Keystone,805.688037,614.8032,Block Valve,9.53,863.6,0.0000125,Valve,GRNFL+26-2-A0,GRNFL,0.42227,14848.35326
Keystone,832.194267,599.4192,WTWOD,9.53,863.6,0.0000125,Pump Station,WTWOD-A0,WTWOD,0.42227,13889.3073
Keystone,856.988476,590.5192,Block Valve,9.53,863.6,0.0000125,Valve,WTWOD+24-7-A0,WTWOD,0.42227,15415.69256
Keystone,884.50748,515.6162,MOSMI,9.53,863.6,0.0000125,Pump Station,MOSMI-A0,MOSMI,0.42227,4435.763357
Keystone,892.425891,493.6082,Block Valve,9.53,863.6,0.0000125,Valve,MOSMI+07-8-A0,MOSMI,0.42227,12374.28593
Keystone,914.515591,377.6302,Block Valve,9.53,863.6,0.0000125,Valve,MOSMI+30-0-A0,MOSMI,0.42227,1032.995219
Keystone,916.359621,455.0382,Block Valve,9.53,863.6,0.0000125,Valve,MOSMI+31-8-A0,MOSMI,0.42227,5546.611761
Keystone,926.26104,468.6292,Block Valve,9.53,863.6,0.0000125,Valve,MOSMI+42-5-A0,MOSMI,0.42227,8404.055806
