Department,Failure Rate,Number of Users,Campaign Count,Campaign Failures,Drive By Campaign Failure Rate,Data Entry Campaign Failure Rate,Attachment Campaign Failure Rate
USNG GPMC West Facil,50.00%,1,8,4,40.00%,100.00%,0.00%
Liq SE Petroleum,33.30%,1,3,1,50.00%,0.00%,0.00%
ELIR IR US ENTERPRIS,28.60%,1,7,2,25.00%,0.00%,100.00%
BU Communications,25.00%,1,8,2,20.00%,0.00%,100.00%
US Insurance Risk,25.00%,2,9,4,10.00%,25.00%,100.00%
USNG MXP & GXP,24.20%,4,10,8,9.50%,37.50%,75.00%
IT NTW & TELECOM CA,22.20%,1,9,2,16.70%,0.00%,100.00%
Maint &Outage Planng,20.00%,2,3,1,33.30%,0.00%,0.00%
EITS APP & REPORT US,17.40%,3,8,4,14.30%,16.70%,33.30%
IT Ntwk Proj Del US,16.70%,2,3,1,25.00%,0.00%,0.00%
SCADA IT Services US,16.70%,1,6,1,0.00%,0.00%,100.00%
GLR GLGT Rgn Mgmt Pe,16.00%,3,10,4,6.30%,33.30%,33.30%
Liq APEM,15.40%,2,8,2,11.10%,0.00%,50.00%
Safety Emerge MgmtCA,15.20%,8,10,10,11.90%,12.50%,37.50%
Legal Services MX,15.00%,6,10,6,8.00%,10.00%,60.00%
Project Governanc US,14.80%,3,9,4,16.70%,0.00%,33.30%
CA Gas Commercial,14.30%,1,7,1,0.00%,50.00%,0.00%
Carseland,14.30%,1,7,1,0.00%,0.00%,100.00%
Energy JV - US,14.30%,1,7,1,25.00%,0.00%,0.00%
Liquids Operations,14.30%,1,7,1,25.00%,0.00%,0.00%
NETFLEX GRWTH PRJ US,14.30%,1,7,1,0.00%,0.00%,100.00%
Pennant Trunkline,14.30%,1,7,1,0.00%,0.00%,100.00%
SCCO Energy CA,14.30%,1,7,1,0.00%,0.00%,100.00%
US Projects 1.2,14.30%,1,7,1,0.00%,50.00%,0.00%
USNG Rayne&WB Xpress,14.30%,4,9,4,11.10%,0.00%,50.00%
Pipeline Integrit MX,14.00%,11,10,12,7.50%,13.60%,45.50%
SCUO MX AP,13.90%,27,10,27,9.80%,13.00%,34.60%
USLFO Enviro Srv Ppl,13.60%,4,8,3,14.30%,0.00%,25.00%
Legal Operations US,13.00%,3,8,3,7.10%,16.70%,33.30%
MGO MX  HS Emer Mgmt,13.00%,6,10,6,10.70%,16.70%,16.70%
SCE Vendor Audit,13.00%,3,9,3,14.30%,16.70%,0.00%
SCP Projects,12.90%,8,10,8,7.50%,14.30%,37.50%
CNS Microwave - TCO,12.80%,5,10,5,8.00%,33.30%,0.00%
Energy Exec East,12.50%,1,8,1,0.00%,50.00%,0.00%
Internal Grp Finance,12.50%,3,10,3,13.30%,0.00%,33.30%
Liquids BD US,12.50%,2,9,2,10.00%,0.00%,50.00%
MX Regulatory,12.50%,3,10,3,13.30%,0.00%,33.30%
US Projects 2.2,12.50%,1,8,1,0.00%,50.00%,0.00%
Welding Mat NDE&C-US,12.50%,1,8,1,0.00%,0.00%,100.00%
Aviation Patrol,12.10%,5,8,4,5.00%,12.50%,40.00%
MGO Asset Rel & Perf,12.10%,13,10,12,6.50%,4.20%,53.80%
Training & Dev US,12.10%,4,10,4,9.50%,25.00%,0.00%
Calgary US Taxation,12.00%,3,9,3,12.50%,0.00%,33.30%
USSM Commercial Op,12.00%,4,8,3,0.00%,16.70%,50.00%
Fac Serv Houston,11.90%,12,10,10,9.40%,10.00%,27.30%
Corporate Compliance,11.80%,7,10,6,9.40%,8.30%,28.60%
USNG Environ Admin,11.60%,5,10,5,3.60%,10.00%,60.00%
CA Imp Gas Facilitie,11.50%,3,10,3,5.90%,16.70%,33.30%
Project Services CA,11.40%,5,7,4,0.00%,10.00%,60.00%
SCP US PLNG &PROC,11.30%,8,10,7,7.90%,6.30%,37.50%
Communication CA Gas,11.10%,3,9,3,0.00%,33.30%,33.30%
ELIR CGL,11.10%,7,8,5,11.50%,16.70%,0.00%
USNGOps Wst Exec Mgt,11.10%,1,9,1,0.00%,0.00%,100.00%
Acctg Serv MX,10.90%,14,10,11,7.90%,4.20%,35.70%
USNG Grad Rotat Prog,10.70%,4,8,3,0.00%,14.30%,50.00%
IT NTW &TELCOM PJ CA,10.70%,11,10,8,4.30%,16.70%,27.30%
HR Consult CdnGas,10.50%,6,8,4,8.30%,12.50%,16.70%
ITOI IT Proj Del,10.50%,5,10,4,4.30%,10.00%,40.00%
ELIR KXL,10.30%,5,10,3,5.60%,16.70%,20.00%
USNG Env Comm,10.30%,21,10,15,8.60%,6.50%,23.80%
CGO Eng Support,10.30%,24,10,16,5.20%,8.10%,36.40%
BWR Rgn Mgmt -People,10.30%,5,10,4,8.30%,0.00%,40.00%
SCP Reg Pipes Fac,10.20%,22,10,14,3.40%,13.80%,35.00%
Construction Serv MX,10.20%,6,10,5,9.70%,8.30%,16.70%
SCCM Construct Serv,10.00%,7,9,5,6.50%,0.00%,42.90%
USNG Bus Dev Central,10.00%,4,9,3,5.60%,12.50%,25.00%
USNG Proj Services,10.00%,4,9,3,5.60%,12.50%,25.00%
MGO North Region,9.90%,13,10,9,5.40%,4.50%,38.50%
Tax Services MX,9.80%,10,9,6,5.10%,8.30%,30.00%
BUIT PROJ DEL CA,9.50%,4,9,2,15.40%,0.00%,0.00%
MX Document Control,9.50%,13,10,10,7.60%,3.80%,30.80%
SEOA5: Bus Ops,9.50%,25,10,19,6.30%,2.10%,40.00%
BUIT AMS USNG WEST,9.10%,2,9,1,0.00%,0.00%,50.00%
Energy-Fncl Services,9.10%,4,10,3,9.50%,0.00%,25.00%
NE Regional Mgmt Ops,9.10%,17,10,12,8.20%,6.70%,17.60%
SC US Strateg Source,9.10%,3,8,2,0.00%,33.30%,0.00%
SCP Coastal GasLink,9.10%,13,10,7,8.30%,6.30%,15.40%
SCS AP US,9.10%,17,10,10,4.50%,0.00%,43.80%
USNG Growth Projects,9.10%,2,7,1,0.00%,0.00%,50.00%
USTS Drafting Svcs,9.10%,41,10,25,6.40%,1.60%,31.70%
Central Reg Mgmt Ops,9.00%,17,10,12,4.90%,5.90%,35.30%
MGO Central Region,8.90%,16,10,10,8.60%,3.70%,20.00%
IC Integrity Program,8.90%,6,8,4,0.00%,16.70%,33.30%
MGO MX Env Land Comm,8.90%,12,9,8,3.70%,0.00%,50.00%
Fac Serv Charleston,8.80%,21,10,13,7.70%,2.90%,23.80%
PI Damage Prevention,8.80%,10,10,6,11.90%,6.30%,0.00%
Rec&Delivery FCST,8.80%,9,10,6,4.80%,11.10%,25.00%
IR - CA Liquids,8.80%,9,10,5,2.80%,15.40%,25.00%
BL Area-ANRP,8.80%,30,10,19,6.10%,5.50%,26.70%
MA Mooreland Area,8.70%,26,10,17,6.70%,4.00%,26.90%
Prj Service Ctrls CA,8.60%,11,10,7,7.80%,0.00%,30.00%
SEOA7: Bus Ops,8.60%,35,10,23,5.90%,3.10%,31.40%
CGL Proj Implement,8.60%,5,10,3,13.60%,0.00%,0.00%
SEOA3: Bus Ops,8.60%,33,10,19,7.10%,4.00%,21.90%
ELIR ENV GAS PROJECT,8.40%,37,10,22,6.60%,3.30%,24.30%
CA Pipe Reg Research,8.30%,3,10,2,6.70%,16.70%,0.00%
CLFO Reg MGT Ppl,8.30%,4,8,2,0.00%,16.70%,25.00%
E&L Land Serv- East,8.30%,27,10,16,5.80%,11.40%,14.80%
Security & HSSEM,8.30%,3,8,2,0.00%,16.70%,33.30%
US Midstrm Ops,8.30%,12,10,8,9.80%,4.30%,8.30%
USNG GPMC East,8.30%,4,7,2,14.30%,0.00%,0.00%
Weld&Material Eng US,8.30%,3,8,2,6.70%,0.00%,33.30%
Liq SE Mechanical,8.10%,6,10,3,0.00%,12.50%,33.30%
USNG SVP Executive,8.10%,7,10,3,8.30%,0.00%,14.30%
KXL Facilities US,8.10%,96,10,40,4.80%,7.50%,20.20%
SE Regional Mmgt Ops,8.10%,19,10,12,4.30%,5.60%,31.60%
USNG GMPC East,8.00%,3,9,2,6.30%,16.70%,0.00%
Land Law,7.90%,7,10,3,4.00%,0.00%,33.30%
Land-CA Liquids-Proj,7.90%,10,10,6,8.00%,6.30%,10.00%
Liq. SE FieldProj US,7.90%,5,9,3,13.00%,0.00%,0.00%
Reed City-ANRP,7.90%,32,10,19,6.50%,1.70%,26.70%
Dakota Area (People),7.80%,23,10,13,3.90%,7.10%,27.30%
Gas Proj Project MX,7.80%,270,10,159,5.30%,3.40%,27.50%
CLFO Nistowaya Ppl,7.70%,23,10,13,5.50%,8.30%,17.40%
USNG Plan&Cost Acctg,7.70%,26,10,16,8.30%,2.00%,15.40%
CGO CP Proj and Eng,7.70%,30,10,16,4.00%,5.60%,27.60%
