Segment,BatchName,FacilityName,FacilityMnemonic,BatchVolumeInPipeline,BatchVolumeInSegment,BatchVolume,Shipper,ReceiptFacility,DeliveryFacility,ScadaCommodityCode,Commodity,IntervalStartDateTime,IntervalEndDateTime
Keystone,PDH/0023/0,Crandall Pump Station - (Future),CRNDL-SYN,16131.92,5474,15931,HollyFrontier,Enbridge HCT,Plains Cushing,PDH5,PDH,12/1/2018 1:00,12/1/2018 2:00
Keystone,WDB/0085/0,Crandall Pump Station - (Future),CRNDL-SYN,15802.33,4358,15899,Phillips 66 Co,Enbridge HCT,WRB Terminal,WDB5,WDB,12/3/2018 19:00,12/3/2018 20:00
Keystone,WDB/0085/0,Crandall Pump Station - (Future),CRNDL-SYN,15802.33,8065,15899,Phillips 66 Co,Enbridge HCT,WRB Terminal,WDB5,WDB,12/3/2018 20:00,12/3/2018 21:00
Keystone,WDB/0085/0,Crandall Pump Station - (Future),CRNDL-SYN,15802.33,11833,15899,Phillips 66 Co,Enbridge HCT,WRB Terminal,WDB5,WDB,12/3/2018 21:00,12/3/2018 22:00
Keystone,WDB/0085/0,Crandall Pump Station - (Future),CRNDL-SYN,15802.33,15694,15899,Phillips 66 Co,Enbridge HCT,WRB Terminal,WDB5,WDB,12/3/2018 22:00,12/3/2018 23:00
Keystone,CDB/5055/0,Crandall Pump Station - (Future),CRNDL-SYN,16048.71,3732,15899,Phillips 66 Co,Gibson Terminal,WRB Terminal,CDB5,CDB,12/3/2018 23:00,12/4/2018 0:00
Keystone,CDB/5055/0,Crandall Pump Station - (Future),CRNDL-SYN,16048.71,7868,15899,Phillips 66 Co,Gibson Terminal,WRB Terminal,CDB5,CDB,12/4/2018 0:00,12/4/2018 1:00
Keystone,CDB/5055/0,Crandall Pump Station - (Future),CRNDL-SYN,16048.71,12111,15899,Phillips 66 Co,Gibson Terminal,WRB Terminal,CDB5,CDB,12/4/2018 1:00,12/4/2018 2:00
Keystone,CDB/5055/0,Crandall Pump Station - (Future),CRNDL-SYN,16048.71,15365,15899,Phillips 66 Co,Gibson Terminal,WRB Terminal,CDB5,CDB,12/4/2018 2:00,12/4/2018 3:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,2844,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 3:00,12/4/2018 4:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,6193,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 4:00,12/4/2018 5:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,9043,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 5:00,12/4/2018 6:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,12151,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 6:00,12/4/2018 7:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,15723,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 7:00,12/4/2018 8:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,19634,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 8:00,12/4/2018 9:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,19840,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 9:00,12/4/2018 10:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,19840,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 10:00,12/4/2018 11:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,19840,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 11:00,12/4/2018 12:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,19840,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 12:00,12/4/2018 13:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,19840,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 13:00,12/4/2018 14:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,19840,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 14:00,12/4/2018 15:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,19840,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 15:00,12/4/2018 16:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,19840,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 16:00,12/4/2018 17:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,19840,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 17:00,12/4/2018 18:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,19840,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 18:00,12/4/2018 19:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,19840,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 19:00,12/4/2018 20:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,19840,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 20:00,12/4/2018 21:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,19840,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 21:00,12/4/2018 22:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,19840,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 22:00,12/4/2018 23:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,19841,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/4/2018 23:00,12/5/2018 0:00
Keystone,CL/5704/0,Crandall Pump Station - (Future),CRNDL-SYN,23099.5,21161,15971,Husky Mktg & Supply,Enbridge HCT,Plains Patoka,CL5,CL,12/5/2018 0:00,12/5/2018 1:00
Keystone,CDB/5057/0,Crandall Pump Station - (Future),CRNDL-SYN,14452.59,766,15899,Phillips 66 Co,Enbridge HCT,WRB Terminal,CDB5,CDB,12/5/2018 1:00,12/5/2018 2:00
Keystone,CDB/5057/0,Crandall Pump Station - (Future),CRNDL-SYN,14452.59,3893,15899,Phillips 66 Co,Enbridge HCT,WRB Terminal,CDB5,CDB,12/5/2018 2:00,12/5/2018 3:00
Keystone,CDB/5057/0,Crandall Pump Station - (Future),CRNDL-SYN,14452.59,7152,15899,Phillips 66 Co,Enbridge HCT,WRB Terminal,CDB5,CDB,12/5/2018 3:00,12/5/2018 4:00
