,Location_Ultrasonic_Flow,accumulated_volume,calc,BatchVolumeInPipeline,BatchVolumeInSegment,BatchVolume,Location_Density,Location_Discharge_Pressure,Downstream_Valve_Suction_Pressure,Location_Discharge_Temperature,Downstream_Suction_Temperature,DRA1_Concentration,DRA1_Flow_Rate,IntervalStartDateTime,BatchName,FacilityMnemonic,ScadaCommodityCode,Commodity,Actual_Pressure_Drop,Average_Temperature,lastSlice,Estimated_Viscosity,Reynolds_Number,Friction_Factor,Frictional_Pressure_Loss,Frictional_Pressure_Loss_Over_Segment,Elevation_Pressure_Loss_Over_Segment,Theoretical_Pressure_Loss_Over_Segment,DRA_Effectiveness,Date_Time,DRA1_type
12/1/2018 1:00,-1,5474,0,16131.92,5474,15931,911.5234049,464.4560567,337.3486111,23.53905614,25.29722703,0,0,12/1/2018 1:00,PDH/0023/0,CRNDL-SYN,PDH5,PDH,127.1074456,24.41814159,TRUE,147.2969516,0,0,0,0,-490.3930462,-490.3930462,,12/1/2018 1:00,Heavy
12/3/2018 19:00,3824.288889,4358,0,15802.33,4358,15899,907.4189453,3988.808889,2385.587908,29.73485023,27.70000076,0,0,12/3/2018 19:00,WDB/0085/0,CRNDL-SYN,WDB5,WDB,1603.220981,28.7174255,FALSE,116.1426978,15695.05792,0.02760881,101.8879047,3892.534229,-488.1848764,3404.349353,52.90668452,12/3/2018 19:00,Heavy
12/3/2018 19:15,3394.176111,5206.544028,848.5440277,15802.33,4358,15899,906.8303583,3475.018333,2152.232648,29.69530576,27.70000076,0,0,12/3/2018 19:00,WDB/0085/0,CRNDL-SYN,WDB5,WDB,1322.785685,28.69765326,FALSE,116.1426978,13929.85525,0.028445754,82.637649,3157.095814,-487.8682208,2669.227593,50.44312862,12/3/2018 19:15,Heavy
12/3/2018 19:30,3672.348333,6124.631111,918.0870833,15802.33,4358,15899,906.7690165,4742.103148,3241.505556,29.96450028,27.70000076,0,0,12/3/2018 19:00,WDB/0085/0,CRNDL-SYN,WDB5,WDB,1500.597592,28.83225052,FALSE,116.1426978,15071.48687,0.027889042,94.83828959,3623.210131,-487.8352194,3135.374911,52.13977166,12/3/2018 19:30,Heavy
12/3/2018 19:45,3736.396667,7058.730278,934.0991668,15802.33,4358,15899,906.7439948,5192.215494,3651.494444,30,27.70000076,0,0,12/3/2018 19:00,WDB/0085/0,CRNDL-SYN,WDB5,WDB,1540.72105,28.85000038,FALSE,116.1426978,15334.34419,0.027769011,97.74999831,3734.4493,-487.8217579,3246.627542,52.5439543,12/3/2018 19:45,Heavy
12/3/2018 20:00,3739.306111,8065,0,15802.33,8065,15899,906.7189731,5305.04729,3763.246311,30,27.70000076,0,0,12/3/2018 20:00,WDB/0085/0,CRNDL-SYN,WDB5,WDB,1541.800979,28.85000038,FALSE,116.1426978,15346.28468,0.027763625,97.88060086,3739.438851,-487.8082964,3251.630555,52.58375904,12/3/2018 20:00,Heavy
12/3/2018 20:15,3736.750556,8999.187639,934.187639,15802.33,8065,15899,906.7008435,5315.396846,3776.549585,30,27.70000076,0,0,12/3/2018 20:00,WDB/0085/0,CRNDL-SYN,WDB5,WDB,1538.847261,28.85000038,FALSE,116.1426978,15335.79656,0.027768355,97.76155576,3734.890842,-487.7985428,3247.092299,52.60845337,12/3/2018 20:15,Heavy
12/3/2018 20:30,3730.472778,9931.805834,932.6181945,15802.33,8065,15899,906.7000122,5308.353083,3774.763548,29.99343243,27.70000076,0,0,12/3/2018 20:00,WDB/0085/0,CRNDL-SYN,WDB5,WDB,1533.589535,28.8467166,FALSE,116.1426978,15310.03227,0.027779994,97.47409817,3723.908787,-487.7980956,3236.110692,52.61010265,12/3/2018 20:30,Heavy
12/3/2018 20:45,3719.812222,10861.75889,929.9530555,15802.33,8065,15899,906.7000122,5265.993954,3742.174111,29.96935472,27.70000076,0,0,12/3/2018 20:00,WDB/0085/0,CRNDL-SYN,WDB5,WDB,1523.819843,28.83467774,FALSE,116.1426978,15266.28086,0.027799819,96.98695717,3705.298011,-487.7980956,3217.499915,52.63963067,12/3/2018 20:45,Heavy
12/3/2018 21:00,3714.709444,11833,0,15802.33,11833,15899,906.7000122,5238.744203,3718.714491,29.94432682,27.69987839,0,0,12/3/2018 21:00,WDB/0085/0,CRNDL-SYN,WDB5,WDB,1520.029712,28.8221026,FALSE,116.1426978,15245.33882,0.027809336,96.75416142,3696.404262,-487.7980956,3208.606167,52.62647913,12/3/2018 21:00,Heavy
12/3/2018 21:15,3710.583889,12760.64597,927.6459723,15802.33,11833,15899,906.7000122,5219.06876,3703.386503,29.91929891,27.68501183,0,0,12/3/2018 21:00,WDB/0085/0,CRNDL-SYN,WDB5,WDB,1515.682257,28.80215537,FALSE,116.1426978,15228.40735,0.027817044,96.56612738,3689.220593,-487.7980956,3201.422498,52.65597534,12/3/2018 21:15,Heavy
12/3/2018 21:30,3707.505556,13687.52236,926.876389,15802.33,11833,15899,906.7000122,5205.07799,3692.337414,29.90091941,27.65998393,0,0,12/3/2018 21:00,WDB/0085/0,CRNDL-SYN,WDB5,WDB,1512.740576,28.78045167,FALSE,116.1426978,15215.77373,0.027822802,96.42592804,3683.864406,-487.7980956,3196.06631,52.66867364,12/3/2018 21:30,Heavy
12/3/2018 21:45,3706.785519,14614.21874,926.6963797,15802.33,11833,15899,906.7000122,5197.113126,3687.020938,29.89999962,27.63495602,0,0,12/3/2018 21:00,WDB/0085/0,CRNDL-SYN,WDB5,WDB,1510.092188,28.76747782,FALSE,116.1426978,15212.81867,0.02782415,96.39314763,3682.61206,-487.7980956,3194.813965,52.73301655,12/3/2018 21:45,Heavy
12/3/2018 22:00,3706.422259,15694,0,15802.33,15694,15899,906.7000122,5196.100875,3688.106673,29.89999962,27.60993936,0,0,12/3/2018 22:00,WDB/0085/0,CRNDL-SYN,WDB5,WDB,1507.994202,28.75496949,TRUE,116.1426978,15211.32783,0.027824831,96.3766117,3681.980321,-487.7980956,3194.182225,52.73301655,12/3/2018 22:00,Heavy
12/3/2018 22:15,3705.472222,926.3680555,0,15802.33,15694,15899,906.7202839,5200.80812,3694.117439,29.89999962,27.58501145,0,0,12/3/2018 22:00,CDB/5055/0,CRNDL-SYN,CDB5,CDB,1506.690681,28.74250554,FALSE,100.9264042,17500.19557,0.026876753,93.04712772,3554.78043,-487.8090016,3066.971428,50.87366425,12/3/2018 22:15,Heavy
12/3/2018 22:30,3807.685556,1878.289445,951.921389,15802.33,15694,15899,906.878041,4911.716556,3329.810208,29.85173413,27.55998354,0,0,12/3/2018 22:00,CDB/5055/0,CRNDL-SYN,CDB5,CDB,1581.906348,28.70585884,FALSE,100.9264042,17982.92847,0.026698312,97.61589989,3729.326192,-487.8938738,3241.432319,51.19730438,12/3/2018 22:30,Heavy
12/3/2018 22:45,3912.211111,2856.342222,978.0527778,15802.33,15694,15899,908.143482,3750.136111,2110.202172,29.61431277,27.53495564,0,0,12/3/2018 22:00,CDB/5055/0,CRNDL-SYN,CDB5,CDB,1639.933939,28.57463421,FALSE,100.9264042,18476.58151,0.026522479,102.5129824,3916.414751,-488.5746719,3427.840079,52.15838834,12/3/2018 22:45,Heavy
12/3/2018 23:00,4164.491111,3732,0,16048.71,3732,15899,909.19198,3930.272778,2123.912005,29.67264217,27.51006136,0,0,12/3/2018 23:00,CDB/5055/0,CRNDL-SYN,CDB5,CDB,1806.360773,28.59135177,FALSE,100.9264042,19668.04891,0.026123312,114.5442864,4376.059718,-489.1387563,3886.920962,53.52720596,12/3/2018 23:00,Heavy
12/3/2018 23:15,4217.242657,4786.310664,1054.310664,16048.71,3732,15899,908.1460828,4020.317778,2173.90749,29.63404854,27.5,0,0,12/3/2018 23:00,CDB/5055/0,CRNDL-SYN,CDB5,CDB,1846.410288,28.56702427,FALSE,100.9264042,19917.18379,0.026044003,116.9731951,4468.853955,-488.5760711,3980.277884,53.61102059,12/3/2018 23:15,Heavy
